"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"H3P14","ENSG00000250966","1.46","0.3676720284697509","1.1008403361344539","0.31","0.09","0.19","0.06"
"HS3ST1","ENSG00000002587","1.46","0.3797665677546983","1.3354430379746838","1.11","0.42","0.58","0.26"
"LYPD1","ENSG00000150551","1.46","0.36741052631578947","2.1327959270258803","49.27","20.24","22.57","7.14"
"NRIP1","ENSG00000180530","1.46","0.36741052631578947","1.4090078328981726","106.93","27.9","75.6","7.39"
"PPM1J","ENSG00000155367","1.46","0.41175533583361745","1.2228915662650603","1.03","0.27","0.66","0.25"
"TOX4","ENSG00000092203","1.46","0.3691541694915254","1.0685381514110797","70.56","3.54","65.97","2.61"
"VAMP3","ENSG00000049245","1.46","0.3698882466281311","1.2421808237908052","71.68","10.62","57.51","7.47"
"ZNF106","ENSG00000103994","1.46","0.36741052631578947","1.6857005758157388","209.78","80.91","124.04","22.37"
"AC008464.1","ENSG00000253660","1.45","0.36741052631578947","1.099009900990099","0.11","0.08","0.01","0.01"
"AC011933.3","ENSG00000265342","1.45","0.39950361445783134","1.0818181818181818","0.19","0.06","0.1","0.06"
"DDO","ENSG00000203797","1.45","0.36741052631578947","1.0297029702970297","0.04","0.03","0.01","0.01"
"FAM162A","ENSG00000114023","1.45","0.3855398822996831","1.2655075187969924","25.93","4.24","20.28","3.29"
"GCNT4","ENSG00000176928","1.45","0.36741052631578947","3.233449477351916","8.28","8.69","1.87","0.41"
"IFT74-AS1","ENSG00000234676","1.45","0.36741052631578947","1.0666666666666667","0.12","0.06","0.05","0.03"
"IZUMO1","ENSG00000182264","1.45","0.36741052631578947","1.0792079207920793","0.09","0.07","0.01","0.02"
"MCHR1","ENSG00000128285","1.45","0.36741052631578947","1.6221198156682028","2.52","1.25","1.17","0.43"
"NQO2","ENSG00000124588","1.45","0.36741052631578947","1.5491543340380547","28.31","9.59","17.92","3.62"
"RORC","ENSG00000143365","1.45","0.36741052631578947","1.0297029702970297","0.04","0.03","0.01","0.01"
"RPL35P6","ENSG00000244018","1.45","0.36741052631578947","1.02","0.02","0.02","0","0"
"ARPC2","ENSG00000163466","1.44","0.36741052631578947","1.2332000905045628","162.51","26.62","131.59","9.08"
"BAG3","ENSG00000151929","1.44","0.36741052631578947","1.5749423520368946","39.98","11.57","25.02","5.34"
